time,open,high,low,close,volume
2025-07-16 07:25:00+00:00,1.34036,1.34036,1.33968,1.34,794.0
2025-07-16 07:30:00+00:00,1.34,1.34019,1.33961,1.33965,666.0
2025-07-16 07:35:00+00:00,1.33964,1.33988,1.33928,1.3393,786.0
2025-07-16 07:40:00+00:00,1.33932,1.33932,1.33901,1.33917,719.0
2025-07-16 07:45:00+00:00,1.33916,1.33936,1.33908,1.3391,602.0
2025-07-16 07:50:00+00:00,1.3391,1.33923,1.33892,1.33912,628.0
2025-07-16 07:55:00+00:00,1.33911,1.33942,1.33891,1.33936,634.0
2025-07-16 08:00:00+00:00,1.33936,1.34002,1.3393,1.33966,947.0
2025-07-16 08:05:00+00:00,1.33968,1.33982,1.33942,1.33946,634.0
2025-07-16 08:10:00+00:00,1.33946,1.34016,1.33945,1.33998,816.0
2025-07-16 08:15:00+00:00,1.33998,1.33998,1.33954,1.33967,556.0
2025-07-16 08:20:00+00:00,1.33966,1.3399,1.33961,1.3398,556.0
2025-07-16 08:25:00+00:00,1.3398,1.34002,1.33954,1.33971,664.0
2025-07-16 08:30:00+00:00,1.33972,1.33978,1.33916,1.3392,799.0
2025-07-16 08:35:00+00:00,1.33919,1.33947,1.33906,1.33916,495.0
2025-07-16 08:40:00+00:00,1.33916,1.3397,1.33912,1.33968,616.0
2025-07-16 08:45:00+00:00,1.33969,1.33972,1.33948,1.33948,545.0
2025-07-16 08:50:00+00:00,1.33948,1.33958,1.33918,1.33922,430.0
2025-07-16 08:55:00+00:00,1.33922,1.33936,1.33896,1.33914,724.0
2025-07-16 09:00:00+00:00,1.33915,1.3394,1.33906,1.3391,627.0
2025-07-16 09:05:00+00:00,1.33909,1.33928,1.33896,1.33908,395.0
2025-07-16 09:10:00+00:00,1.33908,1.33917,1.33864,1.33876,523.0
2025-07-16 09:15:00+00:00,1.33876,1.3389,1.3384,1.33883,610.0
2025-07-16 09:20:00+00:00,1.33883,1.33914,1.3388,1.33894,615.0
2025-07-16 09:25:00+00:00,1.33894,1.3391,1.33878,1.33883,542.0
2025-07-16 09:30:00+00:00,1.33884,1.33891,1.33853,1.33856,506.0
2025-07-16 09:35:00+00:00,1.33856,1.33912,1.33853,1.3391,838.0
2025-07-16 09:40:00+00:00,1.33909,1.33922,1.33902,1.33902,397.0
2025-07-16 09:45:00+00:00,1.33903,1.33939,1.33902,1.33927,538.0
2025-07-16 09:50:00+00:00,1.33928,1.33965,1.33928,1.33962,574.0
2025-07-16 09:55:00+00:00,1.33965,1.33976,1.33949,1.33966,755.0
2025-07-16 10:00:00+00:00,1.33966,1.33979,1.3391,1.3393,623.0
2025-07-16 10:05:00+00:00,1.33928,1.34012,1.33927,1.33978,613.0
2025-07-16 10:10:00+00:00,1.33975,1.33982,1.33952,1.3398,541.0
2025-07-16 10:15:00+00:00,1.3398,1.34002,1.33954,1.33981,630.0
2025-07-16 10:20:00+00:00,1.3398,1.33985,1.33912,1.3393,521.0
2025-07-16 10:25:00+00:00,1.33929,1.33938,1.33906,1.33937,495.0
2025-07-16 10:30:00+00:00,1.33936,1.33981,1.33933,1.33972,438.0
2025-07-16 10:35:00+00:00,1.33971,1.3402,1.33969,1.34018,664.0
2025-07-16 10:40:00+00:00,1.34018,1.34022,1.3398,1.33998,523.0
2025-07-16 10:45:00+00:00,1.33998,1.34012,1.33988,1.34011,628.0
2025-07-16 10:50:00+00:00,1.3401,1.34061,1.33997,1.34028,628.0
2025-07-16 10:55:00+00:00,1.3403,1.34062,1.34014,1.3406,496.0
2025-07-16 11:00:00+00:00,1.34058,1.34119,1.34047,1.34108,626.0
2025-07-16 11:05:00+00:00,1.34104,1.34106,1.34061,1.34062,473.0
2025-07-16 11:10:00+00:00,1.34062,1.34076,1.34015,1.34029,447.0
2025-07-16 11:15:00+00:00,1.3403,1.3406,1.34008,1.34016,460.0
2025-07-16 11:20:00+00:00,1.34016,1.34061,1.34011,1.34057,605.0
2025-07-16 11:25:00+00:00,1.34056,1.34056,1.33996,1.33996,508.0
2025-07-16 11:30:00+00:00,1.33995,1.34002,1.33967,1.33994,581.0
2025-07-16 11:35:00+00:00,1.33994,1.34026,1.33975,1.33986,709.0
2025-07-16 11:40:00+00:00,1.33987,1.34004,1.33978,1.33996,393.0
2025-07-16 11:45:00+00:00,1.33994,1.34024,1.33976,1.34024,497.0
2025-07-16 11:50:00+00:00,1.34026,1.34049,1.3401,1.34014,577.0
2025-07-16 11:55:00+00:00,1.34013,1.34016,1.33986,1.3401,787.0
2025-07-16 12:00:00+00:00,1.3401,1.34066,1.33997,1.34029,796.0
2025-07-16 12:05:00+00:00,1.3403,1.3404,1.33966,1.33982,695.0
2025-07-16 12:10:00+00:00,1.33982,1.33984,1.33936,1.33952,562.0
2025-07-16 12:15:00+00:00,1.33953,1.33976,1.33892,1.33898,722.0
2025-07-16 12:20:00+00:00,1.33897,1.33916,1.3385,1.33892,857.0
2025-07-16 12:25:00+00:00,1.3389,1.33893,1.33833,1.3384,1071.0
2025-07-16 12:30:00+00:00,1.33842,1.34066,1.3384,1.3404,3158.0
2025-07-16 12:35:00+00:00,1.3404,1.341,1.34004,1.3406,1594.0
2025-07-16 12:40:00+00:00,1.3406,1.3412,1.34024,1.34098,1514.0
2025-07-16 12:45:00+00:00,1.34099,1.34126,1.34014,1.34026,1193.0
2025-07-16 12:50:00+00:00,1.34027,1.34059,1.33986,1.3403,1294.0
2025-07-16 12:55:00+00:00,1.3403,1.3403,1.33914,1.33927,1411.0
2025-07-16 13:00:00+00:00,1.33926,1.3398,1.33918,1.3398,1269.0
2025-07-16 13:05:00+00:00,1.3398,1.33984,1.33914,1.33918,930.0
2025-07-16 13:10:00+00:00,1.33916,1.33917,1.33856,1.33882,965.0
2025-07-16 13:15:00+00:00,1.33882,1.33908,1.33867,1.33874,990.0
2025-07-16 13:20:00+00:00,1.33876,1.3391,1.33797,1.339,1384.0
